#,Name,Disclosure Date,Rank,Check,Description
"29","post/windows/gather/credentials/ie","","normal","No","Ie credential gatherer"
"30","post/windows/gather/credentials/incredimail","","normal","No","Incredimail credential gatherer"
"31","post/windows/manage/install_ssh","","normal","No","Install OpenSSH for Windows"
"32","post/windows/manage/install_python","","normal","No","Install Python for Windows"
"33","post/multi/gather/jboss_gather","","normal","No","Jboss Credential Collector"
"34","post/multi/gather/jenkins_gather","","normal","No","Jenkins Credential Collector"
"35","post/windows/gather/credentials/kakaotalk","","normal","No","KakaoTalk credential gatherer"
"36","post/windows/gather/credentials/kmeleon","","normal","No","Kmeleon credential gatherer"
"37","post/windows/gather/credentials/line","","normal","No","LINE credential gatherer"
"38","post/multi/gather/lastpass_creds","","normal","No","LastPass Vault Decryptor"
"39","post/windows/manage/powershell/load_script","","normal","No","Load Scripts Into PowerShell Session"
"40","post/windows/gather/credentials/maxthon","","normal","No","Maxthon credential gatherer"
"41","post/windows/gather/credentials/mcafee_vse_hashdump","","normal","No","McAfee Virus Scan Enterprise Password Hashes Dump"
"42","post/windows/gather/credentials/miranda","","normal","No","Miranda credential gatherer"
"43","post/multi/gather/dns_bruteforce","","normal","No","Multi Gather DNS Forward Lookup Bruteforce"
"44","post/multi/gather/dns_reverse_lookup","","normal","No","Multi Gather DNS Reverse Lookup Scan"
"45","post/multi/gather/dns_srv_lookup","","normal","No","Multi Gather DNS Service Record Lookup Scan"
"46","post/multi/gather/dbvis_enum","","normal","No","Multi Gather DbVisualizer Connections Settings"
"47","post/multi/gather/filezilla_client_cred","","normal","No","Multi Gather FileZilla FTP Client Credential Collection"
"48","post/multi/gather/firefox_creds","","normal","No","Multi Gather Firefox Signon Credential Collection"
"49","post/multi/gather/env","","normal","No","Multi Gather Generic Operating System Environment Settings"
"50","post/multi/gather/check_malware","","normal","No","Multi Gather Malware Verifier"
"51","post/multi/gather/maven_creds","","normal","No","Multi Gather Maven Credentials Collection"
"52","post/multi/gather/thunderbird_creds","","normal","No","Multi Gather Mozilla Thunderbird Signon Credential Collection"
"53","post/multi/gather/pidgin_cred","","normal","No","Multi Gather Pidgin Instant Messenger Credential Collection"
"54","post/multi/gather/ping_sweep","","normal","No","Multi Gather Ping Sweep"
"55","post/multi/gather/resolve_hosts","","normal","No","Multi Gather Resolve Hosts"
